Country_Region,2022/03/01,2022/03/02,2022/03/03,2022/03/04,2022/03/05,2022/03/06,2022/03/07,2022/03/08,2022/03/09,2022/03/10,2022/03/11,2022/03/12,2022/03/13,2022/03/14,2022/03/15,2022/03/16,2022/03/17,2022/03/18,2022/03/19,2022/03/20,2022/03/21,2022/03/22,2022/03/23,2022/03/24,2022/03/25,2022/03/26,2022/03/27,2022/03/28,2022/03/29,2022/03/30,2022/03/31
Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
Djibouti,15547,15547,15549,15550,15550,15550,15550,15550,15564,15564,15564,15564,15565,15568,15568,15572,15572,15573,15573,15573,15573,15574,15578,15580,15580,15580,15580,15585,15585,15585,15587
Dominica,11108,11108,11148,11248,11248,11248,11248,11248,11462,11502,11502,11502,11502,11529,11529,11643,11643,11674,11724,11724,11745,11777,11777,11787,11787,11787,11787,11805,11816,11839,11859
Dominican Republic,574912,575157,575437,575592,575883,575949,576003,576129,576220,576220,576367,576367,576641,576641,576788,576904,577070,577241,577317,577317,577354,577476,577476,577673,577673,577841,577841,577910,577910,578020,578020
Ecuador,827760,833291,836216,836216,836216,836216,841575,841575,843760,843760,843760,843760,843760,849386,849699,849699,849699,849699,849699,853850,854252,854252,854252,855314,857299,857299,857299,857299,859207,859890,859890
Egypt,485093,486381,487642,488763,489876,490969,491892,492774,493658,494519,495373,495373,495373,495373,495373,495373,495373,495373,495373,495373,500889,500889,500889,500889,500889,500889,500889,505264,505264,505264,505264
El Salvador,156364,156364,156364,156364,156364,156364,156364,156364,156364,156364,156364,156364,156364,156364,156364,156364,160305,160942,161052,161052,161052,161052,161052,161052,161052,161052,161052,161052,161052,161052,161052
Equatorial Guinea,15884,15885,15885,15885,15889,15889,15894,15894,15894,15894,15894,15895,15895,15898,15898,15898,15899,15899,15899,15899,15899,15902,15999,15999,15999,15999,15999,16000,16000,16000,16000
Eritrea,9704,9705,9707,9708,9715,9715,9716,9716,9718,9719,9720,9721,9721,9722,9722,9722,9722,9723,9723,9723,9723,9723,9723,9723,9724,9724,9724,9724,9724,9727,9728
Estonia,499083,504148,507711,511022,514067,515708,517102,520407,523279,525748,527913,529793,531164,532089,534788,536924,538673,540184,541551,542386,543053,545057,546885,548333,549793,551067,551714,552287,553736,555140,556304
Eswatini,69191,69211,69258,69290,69297,69298,69307,69331,69351,69379,69408,69429,69435,69459,69478,69507,69527,69541,69548,69552,69563,69597,69610,69633,69658,69663,69664,69672,69695,69723,69771
Ethiopia,468770,468786,468850,468895,468930,468966,469007,469047,469095,469134,469153,469170,469184,469222,469291,469329,469393,469419,469441,469455,469469,469494,469523,469544,469604,469611,469621,469656,469679,469704,469758
Fiji,63930,63999,63999,64019,64019,64019,64034,64034,64060,64060,64067,64067,64067,64081,64081,64154,64154,64221,64221,64221,64327,64327,64335,64335,64376,64376,64376,64394,64394,64404,64404
Finland,657443,658559,664588,671773,671773,671773,694142,694142,703052,713103,734262,734262,734262,761110,767220,778617,782912,786312,786312,786312,812017,812224,821536,834038,844713,844713,844713,859477,864815,874135,883676
France,22959368,23017711,23079453,23137902,23191580,23236908,23253235,23346927,23417253,23492815,23565274,23635798,23694834,23717460,23834842,23943801,24046195,24143852,24241956,24323239,24347772,24528957,24683075,24823603,24967222,25106739,25216913,25246720,25464389,25633476,25803173
Gabon,47543,47543,47543,47543,47559,47559,47559,47562,47564,47564,47564,47564,47564,47570,47570,47570,47570,47570,47570,47570,47581,47581,47581,47584,47584,47584,47584,47584,47584,47584,47584
Gambia,11939,11939,11948,11948,11948,11948,11948,11963,11963,11963,11963,11963,11963,11973,11973,11973,11973,11978,11978,11978,11978,11978,11978,11978,11986,11986,11986,11986,11988,11988,11988
Georgia,1612319,1616159,1619274,1620639,1623672,1625372,1626282,1629065,1629930,1631900,1633443,1634686,1635509,1635975,1637691,1638790,1639678,1640550,1641399,1641874,1642242,1643295,1644112,1644711,1645301,1645959,1646316,1646545,1647243,1647796,1648264
Germany,14916017,15108520,15313526,15521624,15520567,15509281,15908101,15953374,16326027,16561509,16814345,16814345,16795310,17271381,17470269,17732862,18027793,18325638,18325638,18325638,18809983,19032063,19315795,19634182,19930680,19930680,19930680,20361431,20598783,20867260,21104509
Ghana,159891,159891,160028,160028,160028,160028,160028,160640,160667,160681,160693,160693,160716,160716,160761,160761,160775,160791,160791,160819,160863,160870,160870,160894,160894,160925,160925,160925,160925,160925,160971
Greece,2438872,2454429,2470212,2486262,2499259,2508472,2517111,2538168,2561503,2583366,2604626,2623628,2635614,2658296,2684916,2708610,2732866,2756487,2776192,2788654,2812182,2838891,2861993,2884100,2900334,2916892,2930321,2957810,2986882,3009333,3030429
Grenada,13690,13690,13690,13690,13690,13690,13690,13690,13690,13690,13690,13690,13690,13690,13690,13921,13921,13936,13936,13936,13936,13954,13954,13967,13967,13982,13982,13982,13982,13998,14012
Guatemala,780815,784024,786869,789354,791944,792503,792961,795808,798400,800403,802744,804709,805030,805393,807453,809586,812125,814111,815776,816136,816653,818454,820477,821834,823145,824159,824502,824644,826061,827596,828874
